Gruppo;Diploma;Elementari/nessuno;Medie;Università;Non indicato
economico-statistico;10553,05777;2159,352694;5642,746895;4988,712889;378,6744053
ingegneria;8388,241644;1716,390888;4485,214193;3965,346359;300,9945066
politico-sociale;8369,724554;1712,601946;4475,313058;3956,592836;300,3300595
medico;7566,996691;1548,348834;4046,092423;3577,121887;271,5258491
letterario;6356,171408;1300,591369;3398,661057;3004,732365;228,0779164
giuridico;5056,127421;1034,578092;2703,524223;2390,166773;181,4285571
linguistico;4140,373165;847,1976697;2213,868088;1957,265224;148,5686311
architettura;4034,080261;825,4481564;2157,033001;1907,017723;144,7545325
insegnamento;3985,983924;815,6067477;2131,315767;1884,281297;143,028696
geo-biologico;3519,449455;720,1450831;1881,858597;1663,737965;126,2880824
psicologico;3503,818146;716,9466253;1873,500496;1656,348627;125,7271856
scientifico;1992,631239;407,7295633;1065,465004;941,9701251;71,50140425
chimico-farmaceutico;1853,632826;379,2878921;991,1421978;876,2618543;66,5137369
agrario;1351,74755;276,5927921;722,7828612;639,00725;48,50463351
educazione fisica;1155,274013;236,3906375;617,7279604;546,1289502;41,4545916
difesa e sicurezza;184,6899338;37,79100949;98,75417851;87,30787546;6,627211979
;;;;;
;;;;;
;;Diploma;24,04;;
;;Elementari/nessuno;4,92;;
;;Medie;12,8;;
;;Università;11,36;;
;;Non indicato;0,862;;
