,Regione,Tipo Ateneo,Sesso,Corso di laurea,Anno,Value
366,Piemonte,pubblica,maschi,scientifico,2008,414
367,Piemonte,pubblica,maschi,scientifico,2009,415
368,Piemonte,pubblica,maschi,scientifico,2010,388
369,Piemonte,pubblica,maschi,scientifico,2011,405
370,Piemonte,pubblica,maschi,scientifico,2012,387
371,Piemonte,pubblica,maschi,scientifico,2013,427
372,Piemonte,pubblica,maschi,scientifico,2014,500
373,Piemonte,pubblica,maschi,scientifico,2015,520
374,Piemonte,pubblica,maschi,scientifico,2016,643
375,Piemonte,pubblica,maschi,scientifico,2017,810
376,Piemonte,pubblica,maschi,scientifico,2008,414
377,Piemonte,pubblica,maschi,scientifico,2009,415
378,Piemonte,pubblica,maschi,scientifico,2010,388
379,Piemonte,pubblica,maschi,scientifico,2011,405
380,Piemonte,pubblica,maschi,scientifico,2012,387
381,Piemonte,pubblica,maschi,scientifico,2013,427
382,Piemonte,pubblica,maschi,scientifico,2014,500
383,Piemonte,pubblica,maschi,scientifico,2015,520
384,Piemonte,pubblica,maschi,scientifico,2016,643
385,Piemonte,pubblica,maschi,scientifico,2017,810
386,Piemonte,pubblica,femmine,scientifico,2008,200
387,Piemonte,pubblica,femmine,scientifico,2009,196
388,Piemonte,pubblica,femmine,scientifico,2010,207
389,Piemonte,pubblica,femmine,scientifico,2011,190
390,Piemonte,pubblica,femmine,scientifico,2012,208
391,Piemonte,pubblica,femmine,scientifico,2013,214
392,Piemonte,pubblica,femmine,scientifico,2014,212
393,Piemonte,pubblica,femmine,scientifico,2015,221
394,Piemonte,pubblica,femmine,scientifico,2016,230
395,Piemonte,pubblica,femmine,scientifico,2017,304
396,Piemonte,pubblica,femmine,scientifico,2008,200
397,Piemonte,pubblica,femmine,scientifico,2009,196
398,Piemonte,pubblica,femmine,scientifico,2010,207
399,Piemonte,pubblica,femmine,scientifico,2011,190
400,Piemonte,pubblica,femmine,scientifico,2012,208
401,Piemonte,pubblica,femmine,scientifico,2013,214
402,Piemonte,pubblica,femmine,scientifico,2014,212
403,Piemonte,pubblica,femmine,scientifico,2015,221
404,Piemonte,pubblica,femmine,scientifico,2016,230
405,Piemonte,pubblica,femmine,scientifico,2017,304
486,Liguria,pubblica,maschi,scientifico,2008,181
487,Liguria,pubblica,maschi,scientifico,2009,135
488,Liguria,pubblica,maschi,scientifico,2010,145
489,Liguria,pubblica,maschi,scientifico,2011,108
490,Liguria,pubblica,maschi,scientifico,2012,116
491,Liguria,pubblica,maschi,scientifico,2013,122
492,Liguria,pubblica,maschi,scientifico,2014,142
493,Liguria,pubblica,maschi,scientifico,2015,140
494,Liguria,pubblica,maschi,scientifico,2016,184
495,Liguria,pubblica,maschi,scientifico,2017,174
496,Liguria,pubblica,maschi,scientifico,2008,181
497,Liguria,pubblica,maschi,scientifico,2009,135
498,Liguria,pubblica,maschi,scientifico,2010,145
499,Liguria,pubblica,maschi,scientifico,2011,108
500,Liguria,pubblica,maschi,scientifico,2012,116
501,Liguria,pubblica,maschi,scientifico,2013,122
502,Liguria,pubblica,maschi,scientifico,2014,142
503,Liguria,pubblica,maschi,scientifico,2015,140
504,Liguria,pubblica,maschi,scientifico,2016,184
505,Liguria,pubblica,maschi,scientifico,2017,174
506,Liguria,pubblica,femmine,scientifico,2008,73
507,Liguria,pubblica,femmine,scientifico,2009,84
508,Liguria,pubblica,femmine,scientifico,2010,53
509,Liguria,pubblica,femmine,scientifico,2011,61
510,Liguria,pubblica,femmine,scientifico,2012,51
511,Liguria,pubblica,femmine,scientifico,2013,57
512,Liguria,pubblica,femmine,scientifico,2014,48
513,Liguria,pubblica,femmine,scientifico,2015,50
514,Liguria,pubblica,femmine,scientifico,2016,63
515,Liguria,pubblica,femmine,scientifico,2017,67
516,Liguria,pubblica,femmine,scientifico,2008,73
517,Liguria,pubblica,femmine,scientifico,2009,84
518,Liguria,pubblica,femmine,scientifico,2010,53
519,Liguria,pubblica,femmine,scientifico,2011,61
520,Liguria,pubblica,femmine,scientifico,2012,51
521,Liguria,pubblica,femmine,scientifico,2013,57
522,Liguria,pubblica,femmine,scientifico,2014,48
523,Liguria,pubblica,femmine,scientifico,2015,50
524,Liguria,pubblica,femmine,scientifico,2016,63
525,Liguria,pubblica,femmine,scientifico,2017,67
606,Lombardia,pubblica,maschi,scientifico,2008,1273
607,Lombardia,pubblica,maschi,scientifico,2009,1135
608,Lombardia,pubblica,maschi,scientifico,2010,1082
609,Lombardia,pubblica,maschi,scientifico,2011,1003
610,Lombardia,pubblica,maschi,scientifico,2012,1044
611,Lombardia,pubblica,maschi,scientifico,2013,1050
612,Lombardia,pubblica,maschi,scientifico,2014,1132
613,Lombardia,pubblica,maschi,scientifico,2015,1091
614,Lombardia,pubblica,maschi,scientifico,2016,1306
615,Lombardia,pubblica,maschi,scientifico,2017,1349
616,Lombardia,pubblica,maschi,scientifico,2008,1273
617,Lombardia,pubblica,maschi,scientifico,2009,1135
618,Lombardia,pubblica,maschi,scientifico,2010,1082
619,Lombardia,pubblica,maschi,scientifico,2011,1003
620,Lombardia,pubblica,maschi,scientifico,2012,1044
621,Lombardia,pubblica,maschi,scientifico,2013,1050
622,Lombardia,pubblica,maschi,scientifico,2014,1132
623,Lombardia,pubblica,maschi,scientifico,2015,1091
624,Lombardia,pubblica,maschi,scientifico,2016,1306
625,Lombardia,pubblica,maschi,scientifico,2017,1349
626,Lombardia,pubblica,femmine,scientifico,2008,403
627,Lombardia,pubblica,femmine,scientifico,2009,441
628,Lombardia,pubblica,femmine,scientifico,2010,375
629,Lombardia,pubblica,femmine,scientifico,2011,405
630,Lombardia,pubblica,femmine,scientifico,2012,491
631,Lombardia,pubblica,femmine,scientifico,2013,436
632,Lombardia,pubblica,femmine,scientifico,2014,349
633,Lombardia,pubblica,femmine,scientifico,2015,364
634,Lombardia,pubblica,femmine,scientifico,2016,402
635,Lombardia,pubblica,femmine,scientifico,2017,493
636,Lombardia,pubblica,femmine,scientifico,2008,403
637,Lombardia,pubblica,femmine,scientifico,2009,441
638,Lombardia,pubblica,femmine,scientifico,2010,375
639,Lombardia,pubblica,femmine,scientifico,2011,405
640,Lombardia,pubblica,femmine,scientifico,2012,491
641,Lombardia,pubblica,femmine,scientifico,2013,436
642,Lombardia,pubblica,femmine,scientifico,2014,349
643,Lombardia,pubblica,femmine,scientifico,2015,364
644,Lombardia,pubblica,femmine,scientifico,2016,402
645,Lombardia,pubblica,femmine,scientifico,2017,493
666,Lombardia,privata,maschi,scientifico,2008,39
667,Lombardia,privata,maschi,scientifico,2009,23
668,Lombardia,privata,maschi,scientifico,2010,23
669,Lombardia,privata,maschi,scientifico,2011,28
670,Lombardia,privata,maschi,scientifico,2012,30
671,Lombardia,privata,maschi,scientifico,2013,23
672,Lombardia,privata,maschi,scientifico,2014,16
673,Lombardia,privata,maschi,scientifico,2015,19
674,Lombardia,privata,maschi,scientifico,2016,22
675,Lombardia,privata,maschi,scientifico,2017,22
676,Lombardia,privata,maschi,scientifico,2008,39
677,Lombardia,privata,maschi,scientifico,2009,23
678,Lombardia,privata,maschi,scientifico,2010,23
679,Lombardia,privata,maschi,scientifico,2011,28
680,Lombardia,privata,maschi,scientifico,2012,30
681,Lombardia,privata,maschi,scientifico,2013,23
682,Lombardia,privata,maschi,scientifico,2014,16
683,Lombardia,privata,maschi,scientifico,2015,19
684,Lombardia,privata,maschi,scientifico,2016,22
685,Lombardia,privata,maschi,scientifico,2017,22
686,Lombardia,privata,femmine,scientifico,2008,40
687,Lombardia,privata,femmine,scientifico,2009,46
688,Lombardia,privata,femmine,scientifico,2010,33
689,Lombardia,privata,femmine,scientifico,2011,16
690,Lombardia,privata,femmine,scientifico,2012,26
691,Lombardia,privata,femmine,scientifico,2013,17
692,Lombardia,privata,femmine,scientifico,2014,15
693,Lombardia,privata,femmine,scientifico,2015,23
694,Lombardia,privata,femmine,scientifico,2016,20
695,Lombardia,privata,femmine,scientifico,2017,18
696,Lombardia,privata,femmine,scientifico,2008,40
697,Lombardia,privata,femmine,scientifico,2009,46
698,Lombardia,privata,femmine,scientifico,2010,33
699,Lombardia,privata,femmine,scientifico,2011,16
700,Lombardia,privata,femmine,scientifico,2012,26
701,Lombardia,privata,femmine,scientifico,2013,17
702,Lombardia,privata,femmine,scientifico,2014,15
703,Lombardia,privata,femmine,scientifico,2015,23
704,Lombardia,privata,femmine,scientifico,2016,20
705,Lombardia,privata,femmine,scientifico,2017,18
972,Trentino Alto Adige / Südtirol,pubblica,maschi,scientifico,2008,139
973,Trentino Alto Adige / Südtirol,pubblica,maschi,scientifico,2009,153
974,Trentino Alto Adige / Südtirol,pubblica,maschi,scientifico,2010,154
975,Trentino Alto Adige / Südtirol,pubblica,maschi,scientifico,2011,202
976,Trentino Alto Adige / Südtirol,pubblica,maschi,scientifico,2012,240
977,Trentino Alto Adige / Südtirol,pubblica,maschi,scientifico,2013,232
978,Trentino Alto Adige / Südtirol,pubblica,maschi,scientifico,2014,264
979,Trentino Alto Adige / Südtirol,pubblica,maschi,scientifico,2015,287
980,Trentino Alto Adige / Südtirol,pubblica,maschi,scientifico,2016,244
981,Trentino Alto Adige / Südtirol,pubblica,maschi,scientifico,2017,244
982,Trentino Alto Adige / Südtirol,pubblica,maschi,scientifico,2008,139
983,Trentino Alto Adige / Südtirol,pubblica,maschi,scientifico,2009,153
984,Trentino Alto Adige / Südtirol,pubblica,maschi,scientifico,2010,154
985,Trentino Alto Adige / Südtirol,pubblica,maschi,scientifico,2011,202
986,Trentino Alto Adige / Südtirol,pubblica,maschi,scientifico,2012,240
987,Trentino Alto Adige / Südtirol,pubblica,maschi,scientifico,2013,232
988,Trentino Alto Adige / Südtirol,pubblica,maschi,scientifico,2014,264
989,Trentino Alto Adige / Südtirol,pubblica,maschi,scientifico,2015,287
990,Trentino Alto Adige / Südtirol,pubblica,maschi,scientifico,2016,244
991,Trentino Alto Adige / Südtirol,pubblica,maschi,scientifico,2017,244
992,Trentino Alto Adige / Südtirol,pubblica,femmine,scientifico,2008,62
993,Trentino Alto Adige / Südtirol,pubblica,femmine,scientifico,2009,63
994,Trentino Alto Adige / Südtirol,pubblica,femmine,scientifico,2010,80
995,Trentino Alto Adige / Südtirol,pubblica,femmine,scientifico,2011,69
996,Trentino Alto Adige / Südtirol,pubblica,femmine,scientifico,2012,65
997,Trentino Alto Adige / Südtirol,pubblica,femmine,scientifico,2013,74
998,Trentino Alto Adige / Südtirol,pubblica,femmine,scientifico,2014,69
999,Trentino Alto Adige / Südtirol,pubblica,femmine,scientifico,2015,101
1000,Trentino Alto Adige / Südtirol,pubblica,femmine,scientifico,2016,67
1001,Trentino Alto Adige / Südtirol,pubblica,femmine,scientifico,2017,70
1002,Trentino Alto Adige / Südtirol,pubblica,femmine,scientifico,2008,62
1003,Trentino Alto Adige / Südtirol,pubblica,femmine,scientifico,2009,63
1004,Trentino Alto Adige / Südtirol,pubblica,femmine,scientifico,2010,80
1005,Trentino Alto Adige / Südtirol,pubblica,femmine,scientifico,2011,69
1006,Trentino Alto Adige / Südtirol,pubblica,femmine,scientifico,2012,65
1007,Trentino Alto Adige / Südtirol,pubblica,femmine,scientifico,2013,74
