,Value,Value
Sesso,femmine,maschi
Ambito,,
agrario                             ,7890.0,9473.0
architettura                        ,26747.0,24078.0
chimico-farmaceutico,14608.7,9015.3
difesa e sicurezza,306.7,2497.3
economico-statistico                ,67230.1,64918.9
educazione fisica                   ,5956.7,8955.3
geo-biologico                       ,29298.2,15106.8
giuridico                           ,36508.4,27066.6
ingegneria                          ,24307.7,80835.3
insegnamento                        ,45806.8,4418.2
letterario                          ,56502.6,23290.4
linguistico                         ,44727.8,7423.2
medico                              ,63049.8,31848.2
politico-sociale                    ,65763.1,39148.9
psicologico                         ,36909.3,7300.7
scientifico,8124.4,17233.6
