,Regione, Popolazione,Superficie,AnnoA,Isc,PercIscritti
0,lombardia,9965046,23863.1,2010/2011,220706,2.2148016175740683
1,lombardia,9965046,23863.1,2011/2012,216675,2.1743502237721732
2,lombardia,9965046,23863.1,2012/2013,213172,2.1391973504186534
3,lombardia,9965046,23863.1,2013/2014,211176,2.119167337511538
4,lombardia,9965046,23863.1,2014/2015,210750,2.114892394877053
5,lombardia,9965046,23863.1,2015/2016,211885,2.1262822068257385
6,lombardia,9965046,23863.1,2016/2017,216257,2.170155561750543
7,lombardia,9965046,23863.1,2017/2018,223310,2.2409329570581007
8,lombardia,9965046,23863.1,2018/2019,228764,2.295664264871432
9,lombardia,9965046,23863.1,2019/2020,238241,2.3907666858738033
10,lombardia,9965046,23863.1,2020/2021,247425,2.482928829430391
11,lazio,5715190,17231.72,2010/2011,203442,3.5596716819563308
12,lazio,5715190,17231.72,2011/2012,195649,3.4233157602809356
13,lazio,5715190,17231.72,2012/2013,189027,3.3074490961805294
14,lazio,5715190,17231.72,2013/2014,184640,3.2306887435063403
15,lazio,5715190,17231.72,2014/2015,183435,3.209604580075203
16,lazio,5715190,17231.72,2015/2016,182545,3.194032044428969
17,lazio,5715190,17231.72,2016/2017,186163,3.2573370264155694
18,lazio,5715190,17231.72,2017/2018,189608,3.317614987428239
19,lazio,5715190,17231.72,2018/2019,193589,3.387271464290776
20,lazio,5715190,17231.72,2019/2020,197914,3.4629469886390476
21,lazio,5715190,17231.72,2020/2021,203446,3.5597416708805834
22,campania,5590681,13670.6,2010/2011,228962,4.095422364466869
23,campania,5590681,13670.6,2011/2012,225263,4.029258689594344
24,campania,5590681,13670.6,2012/2013,219466,3.9255682805010697
25,campania,5590681,13670.6,2013/2014,215246,3.8500855262534204
26,campania,5590681,13670.6,2014/2015,211904,3.7903074777473442
27,campania,5590681,13670.6,2015/2016,208509,3.7295814230860245
28,campania,5590681,13670.6,2016/2017,208787,3.734553983673903
29,campania,5590681,13670.6,2017/2018,208873,3.736092257812599
30,campania,5590681,13670.6,2018/2019,210016,3.7565369943303866
31,campania,5590681,13670.6,2019/2020,211542,3.783832416837949
32,campania,5590681,13670.6,2020/2021,216804,3.877953329835847
33,veneto,4854633,18345.37,2010/2011,120264,2.4773036396366113
34,veneto,4854633,18345.37,2011/2012,118543,2.4418529680822423
35,veneto,4854633,18345.37,2012/2013,115859,2.386565575605818
36,veneto,4854633,18345.37,2013/2014,113512,2.3382200055081404
37,veneto,4854633,18345.37,2014/2015,112527,2.317930109237918
38,veneto,4854633,18345.37,2015/2016,113104,2.3298156626875812
39,veneto,4854633,18345.37,2016/2017,113336,2.334594602722801
40,veneto,4854633,18345.37,2017/2018,114920,2.3672232277908547
41,veneto,4854633,18345.37,2018/2019,116917,2.4083591900767782
42,veneto,4854633,18345.37,2019/2020,120092,2.4737606323691206
43,veneto,4854633,18345.37,2020/2021,125688,2.5890319618393396
44,sicilia,4801468,25832.55,2010/2011,174099,3.6259535625354578
45,sicilia,4801468,25832.55,2011/2012,162347,3.3811950845033225
46,sicilia,4801468,25832.55,2012/2013,159337,3.3185059236050307
47,sicilia,4801468,25832.55,2013/2014,156307,3.255400223431667
48,sicilia,4801468,25832.55,2014/2015,153640,3.1998547111008553
49,sicilia,4801468,25832.55,2015/2016,151144,3.147870609571906
50,sicilia,4801468,25832.55,2016/2017,152494,3.175987010639246
51,sicilia,4801468,25832.55,2017/2018,154471,3.2171619179800848
52,sicilia,4801468,25832.55,2018/2019,155335,3.2351564146631824
53,sicilia,4801468,25832.55,2019/2020,159408,3.3199846380315354
54,sicilia,4801468,25832.55,2020/2021,166153,3.460462508549469
55,emilia-romagna,4431816,22444.54,2010/2011,103208,2.3287970439205963
56,emilia-romagna,4431816,22444.54,2011/2012,101874,2.2986965162813617
57,emilia-romagna,4431816,22444.54,2012/2013,98893,2.2314328934233734
58,emilia-romagna,4431816,22444.54,2013/2014,97309,2.1956913373659916
59,emilia-romagna,4431816,22444.54,2014/2015,95260,2.1494574684508563
60,emilia-romagna,4431816,22444.54,2015/2016,96468,2.176714917767344
61,emilia-romagna,4431816,22444.54,2016/2017,97540,2.2009036476243597
62,emilia-romagna,4431816,22444.54,2017/2018,100114,2.2589836762176048
63,emilia-romagna,4431816,22444.54,2018/2019,102197,2.305984724997608
64,emilia-romagna,4431816,22444.54,2019/2020,105782,2.386877072513841
65,emilia-romagna,4431816,22444.54,2020/2021,111367,2.5128976473752522
66,piemonte,4252279,25386.7,2010/2011,101830,2.394715868831749
67,piemonte,4252279,25386.7,2011/2012,100394,2.3609457422713795
68,piemonte,4252279,25386.7,2012/2013,98107,2.307162817867783
69,piemonte,4252279,25386.7,2013/2014,97254,2.287102986422105
70,piemonte,4252279,25386.7,2014/2015,96925,2.2793659588187887
71,piemonte,4252279,25386.7,2015/2016,96430,2.267725142211976
72,piemonte,4252279,25386.7,2016/2017,98219,2.3097966996050823
73,piemonte,4252279,25386.7,2017/2018,101038,2.3760905622608486
74,piemonte,4252279,25386.7,2018/2019,102989,2.421971841452548
75,piemonte,4252279,25386.7,2019/2020,106814,2.5119236061415537
76,piemonte,4252279,25386.7,2020/2021,112200,2.638585097544164
77,puglia,3912166,19540.52,2010/2011,145696,3.724177348302705
78,puglia,3912166,19540.52,2011/2012,140433,3.5896482920203283
79,puglia,3912166,19540.52,2012/2013,134383,3.435002502450049
80,puglia,3912166,19540.52,2013/2014,130462,3.3347766940359893
81,puglia,3912166,19540.52,2014/2015,128262,3.2785418614649786
82,puglia,3912166,19540.52,2015/2016,125836,3.2165301779116735
83,puglia,3912166,19540.52,2016/2017,125594,3.2103443463288626
84,puglia,3912166,19540.52,2017/2018,127403,3.256584715474752
85,puglia,3912166,19540.52,2018/2019,129579,3.3122060771449884
86,puglia,3912166,19540.52,2019/2020,131921,3.372070612545582
87,puglia,3912166,19540.52,2020/2021,137344,3.510689474833123
88,toscana,3676285,22987.44,2010/2011,99426,2.7045237243576055
89,toscana,3676285,22987.44,2011/2012,97177,2.6433478361987715
90,toscana,3676285,22987.44,2012/2013,94134,2.5605740577784366
91,toscana,3676285,22987.44,2013/2014,92696,2.521458483224233
92,toscana,3676285,22987.44,2014/2015,92860,2.5259195084167847
93,toscana,3676285,22987.44,2015/2016,91842,2.498228510575214
94,toscana,3676285,22987.44,2016/2017,93128,2.5332094764143696
95,toscana,3676285,22987.44,2017/2018,94023,2.5575547053615266
96,toscana,3676285,22987.44,2018/2019,95446,2.5962622593188502
